18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.49 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.78 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.62 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.33 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.24 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.49 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.47 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.7 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.96 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.72 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.37 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.47 
18/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.68 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.8 
