05/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 21.77 
05/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 21.38 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 21.2 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 20.71 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 20.11 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 19.48 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 18.85 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 18.38 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 18.08 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 18.49 
06/06/2012; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Temperatura ; °C ; 20.69 
