01/09/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.21 
02/09/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.88 
03/09/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.58 
04/09/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 35 
05/09/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.54 
06/09/2017; CORANTIOQUIA ; Ca. Amagá 2017 ; Manual ; 6.0425 ; -75.7025 ; 5 ; ANTIOQUIA ; 5030 ; AMAGÁ ; Indicativa ; 24 ; Humedad Relativa ; % ; 37.08 
13/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 40.1 
14/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.5 
15/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.29 
16/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.33 
17/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.46 
18/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.5 
19/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 31.79 
20/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.54 
21/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.04 
22/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.88 
23/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.38 
24/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.79 
