 16/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 22.7 
 16/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 22.1 
 16/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 22 
 16/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 22 
 16/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 22.1 
 16/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 21.9 
 16/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 21.7 
 16/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 22.1 
 16/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 23.2 
 16/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 26.2 
 16/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 27 
 16/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Temperatura ; °C ; 28.9 
